sample id,machine id,diameter[inch],gauge[needles/inch],machine type,fabric type,iplik 1 numarasi[x m/1gr],yarn 1 make,yarn 1 type,iplik 1 uzunlugu[cm],Iplik 1 beslenme orani[%],iplik 2 numarasi[x m/1gr],yarn 2 make,yarn 2 type,iplik 2 uzunlugu[cm],iplik 2 beslenme orani[%],iplik 3 numarasi[x m/1gr],yarn 3 make,yarn 3 type,iplik 3 uzunlugu[cm],iplik 3 beslenme orani,machine caliber,machine speed[rpm],fabric property[roll?],total input yarn[kg],fabric weight[kg],total revolutions per roll ,fabric roll weight,roll width[cm],GSM[gr/m2]
144,A2,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,,206,474
145,A2,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,22.65,202,482
146,A2,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,26.45,205,530
147,1,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,POL,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,,23.8,212,296.2
148,1,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,POL,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,,25,212,292.8
177,1,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,POL,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,,25.35,222,289
149,2,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,POL,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,,27.45,212,288.2
151,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,22.75,208,498
152,K1,30,26,single jersey,single,28/1,ARINC,combed,27,100,,,,,,,,,,,lacoste,,open width,,,,23.05,216,155
153,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,22.6,204,506
154,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,19.75,214,179
155,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,23.75,214,169
156,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,18.95,214,180
157,E1,30,28,single jersey,single,30/1,NAZAR,combed,25.5,100,,,,,,,,,,,lacoste,,open width,,,,23,230,159.9
158,N1,32,13,single jersey,fleece,20/1,MARTEKS,vortex gray melange50% polyester50%POL,52,25.25,20/1,MARTEKS,vortex gray melange 50%combed 50%polyester,46,25.25,10/2,AKSAN,open end-cotton-polyester,24,49.5,plain,,open width,,,,,193,429
159,N1,32,13,single jersey,fleece,24/1,NAZAR,combed,54,23.6,24/1,NAZAR,combed,49,23.6,10/2,AKSAN,open end-cotton-polyester,24,52.8,plain,,open width,,,,,205.5,363
160,N1,32,13,single jersey,fleece,24/1,NAZAR,combed,54,23.6,24/1,NAZAR,combed,49,23.6,10/2,AKSAN,open end-cotton-polyester,24,52.8,plain,,open width,,,,22.25,204,379.6
161,N1,32,13,single jersey,fleece,24/1,NAZAR,combed,54,23.6,24/1,NAZAR,combed,49,23.6,10/2,AKSAN,open end-cotton-polyester,24,52.8,plain,,open width,,,,,198,352
162,N1,32,13,single jersey,fleece,24/1,MARTEKS,vortex gray melange50% polyester50%POL,54,23.85,24/1,MARTEKS,vortex gray melange 50%combed 50%polyester,51,23.85,10/2,AKSAN,open end-cotton-polyester,24,52.3,plain,,open width,,,,24.05,203,377
163,5,32,20,single jersey,fleece,28/1 ,MODASN,vortex gray melange,44,42,70,TEKSMAR,polyester,28,10,10/1,NOPAS,open end-gray melange ,17,48,plain,21,tube with line,,,,24.55,208,304.1
164,3,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,47,36,30/1,NOPAS,combed-cotton-polyester,40,31,12/1,KUTUKCOGLE,open end-cotton-polyester,17,33,plain,21,tube with line,,,,24.95,214,266.1
165,3,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,47,36,30/1,NOPAS,combed-cotton-polyester,40,31,12/1,KUTUKCOGLE,open end-cotton-polyester,17,33,plain,21,tube with line,,,,24.25,214,286
166,21,32,22,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,,23.5,218,280.1
167,18,36,18,double jersey,ribbed,30/2,LIBAS,combed,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,,,,26.95,168,414.8
168,23,32,22,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,,24.2,224,283
169,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,20.55,195,265.8
170,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,20.55,195,252.6
171,17,36,17,double jersey,ribbed,28/1,MODASN,vortex gray melange,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,18,tube with line,,,,26.7,226,321.7
172,6,32,20,single jersey,fleece,28/1,MODASN,vortex gray melange,44,42,70,TEKSMAR,polyester,28,10,10/1,NOPAS,open end-gray melange ,17,48,plain,21,tube with line,,,,21.4,212,300.7
173,29,32,22,single jersey,single,28/2,NIPAS,combed,38,100,,,,,,,,,,,single,26,open width,,,,24.35,200,210
174,29,32,22,single jersey,single,28/2,NIPAS,combed,38,100,,,,,,,,,,,single,26,open width,,,,23.15,200,210.9
175,31,32,28,single jersey,single,28/1,NIPAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,18,204,139
176,17,36,17,double jersey,ribbed,28/2,MODASN,vortex gray melange,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,18,tube with line,,,,24.65,230,325
